BeazleyNumber,MuseumID,shape,findspot,comments, pleiades number
186,was in the Boston Museum but only on loan,white lekythos,,mistress and maid,
187,Athens Vlasto,white lekythos,Kitsi,youth and woman at tomb,579885
188,Washington 330657,the upper half of the vase remains. white lekythos,Karouzou Philippaki,youth and woman,
189,Oxford,white lekythos,Greece,youth with spear and woman holding helmet,
190,Munich,white lekythos,,,
191,Lond Victoria and Albert Museum,white lekythos,,two youths at tomb,
192,Oxford 1947.24,white lekythos,Greece,youth and woman at tomb,
193,London D 54,white lekythos,Eretria,two youths at tomb,579925
194,London D 55,white lekythos,Eretria,youth and woman,579925
195,Oxford 266,shoulder neck and mouth of the vase are alien. white lekythos,Gela,woman seated with small cithara and woman with lyre,
196,Oxford,white lekythos,Liopesi,back and right arm of the left-handed figure a woman with the back of her head,
197,Rouen,white lekythos,,mistress and maid,
198,Cracow University inv. 14180,white lekythos,Greece,two women mistress adn maid,
199,Chicago 07.20,white lekythos,,touth and old man,
200,Amiens 3057.172.33,white lekythos,,man and woman at tomb,
201,London D 51,white lekythos,Marion,warrior and woman,707574
202,Bologna PU 362,white lekythos,Athens,woman with small cithara and woman,579885
203,Leningrad 936,white lekythos,,mistress and maid (woman with basket of sashes woman frontal),
204,New York 54.11.7,white lekythos,,mistress and maid (woman standing to right holding a garmet rolled up girl standing to left ready to take it,
205,Athens,white lekythos,Athens,youth and woman at tomb (woman to right youth in chlamys to left with spear,579885
206,New York 08.258.16,large. white lekythos,Eretria,youth and woman at tomb,579925
207,Mayence University 135,white lekythos,,youth with spear and woman holding helmet,
208,Arlesheim Schweizer,white lekythos,Greece,mistress and main (girl standing to right ready to take a himation rolled up held by a woman standing to left),
209,New York 07.286.42,large. white lekythos,Eretria,youth seated and woman,579925
210,Boston 08.368,large. white lekythos,,mistress and maid,
211,Leningrad 943,large. white lekythos,,two women (one to right with basket of sashes the other frontal head to left with alabastron),
212,Oxford 1919.21,large. white lekythos,,warrior and woman holding helmet at tomb. 'I take this fine piece to be very late work by the Achilles Painter himself',
